id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_padi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,559367.0,TON,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,767668.0,TON,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,882663.0,TON,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,584336.0,TON,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,917503.0,TON,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,845027.0,TON,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,662779.0,TON,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,369242.0,TON,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,562122.0,TON,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,659403.0,TON,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,503912.0,TON,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1435938.0,TON,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1022571.0,TON,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,203224.0,TON,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1147212.0,TON,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,537388.0,TON,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,252712.0,TON,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,TON,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,3585.0,TON,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,21721.0,TON,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,13654.0,TON,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,2384.0,TON,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,3926.0,TON,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,1880.0,TON,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,2846.0,TON,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,78975.0,TON,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,41124.0,TON,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,517442.0,TON,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,897485.0,TON,2014
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,830545.0,TON,2014
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,462977.0,TON,2014
32,32,JAWA BARAT,3205,KABUPATEN GARUT,972890.0,TON,2014
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,881026.0,TON,2014
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,448641.0,TON,2014
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,356550.0,TON,2014
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,520017.0,TON,2014
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,634260.0,TON,2014
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,475190.0,TON,2014
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1361374.0,TON,2014
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,964845.0,TON,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,198964.0,TON,2014
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1122582.0,TON,2014
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,439054.0,TON,2014
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,256687.0,TON,2014
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,157035.0,TON,2014
46,32,JAWA BARAT,3271,KOTA BOGOR,2516.0,TON,2014
47,32,JAWA BARAT,3272,KOTA SUKABUMI,21971.0,TON,2014
48,32,JAWA BARAT,3273,KOTA BANDUNG,9729.0,TON,2014
49,32,JAWA BARAT,3274,KOTA CIREBON,2271.0,TON,2014
50,32,JAWA BARAT,3275,KOTA BEKASI,3522.0,TON,2014
51,32,JAWA BARAT,3276,KOTA DEPOK,2031.0,TON,2014
52,32,JAWA BARAT,3277,KOTA CIMAHI,3353.0,TON,2014
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,66423.0,TON,2014
54,32,JAWA BARAT,3279,KOTA BANJAR,35519.0,TON,2014
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,492207.0,TON,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,842654.0,TON,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,851649.0,TON,2015
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,483316.0,TON,2015
59,32,JAWA BARAT,3205,KABUPATEN GARUT,919971.0,TON,2015
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,843095.0,TON,2015
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,402620.0,TON,2015
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,355015.0,TON,2015
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,443468.0,TON,2015
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,611223.0,TON,2015
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,433576.0,TON,2015
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1294158.0,TON,2015
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,1028009.0,TON,2015
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,211524.0,TON,2015
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1188633.0,TON,2015
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,447869.0,TON,2015
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,205562.0,TON,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,166428.0,TON,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,3588.0,TON,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,24473.0,TON,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,10672.0,TON,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,2427.0,TON,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,3050.0,TON,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,1476.0,TON,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,2241.0,TON,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,65827.0,TON,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,38413.0,TON,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,582917.0,TON,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,956502.0,TON,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,939731.0,TON,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,518331.0,TON,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,962531.0,TON,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,844659.0,TON,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,474255.0,TON,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,369220.0,TON,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,537949.0,TON,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,719590.0,TON,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,454345.0,TON,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1540984.0,TON,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,1091620.0,TON,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,228005.0,TON,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1149484.0,TON,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,506169.0,TON,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,305169.0,TON,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,189990.0,TON,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,4744.0,TON,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,24246.0,TON,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,6369.0,TON,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,2830.0,TON,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,4131.0,TON,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,1424.0,TON,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,1599.0,TON,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,81863.0,TON,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,41893.0,TON,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,562644.0,TON,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,901902.0,TON,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,874393.0,TON,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,590827.0,TON,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,979223.0,TON,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,905025.0,TON,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,453002.0,TON,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,396162.0,TON,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,478294.0,TON,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,824735.0,TON,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,560875.0,TON,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1224479.0,TON,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,1244234.0,TON,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,219072.0,TON,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1075677.0,TON,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,404466.0,TON,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,284720.0,TON,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,173007.0,TON,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,4156.0,TON,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,20790.0,TON,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,9742.0,TON,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,1619.0,TON,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,2636.0,TON,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,971.0,TON,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,1496.0,TON,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,67603.0,TON,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,37951.0,TON,2017
